SERVICE_CODE,TARIFF_NUMBER,STANDARD_ITEM_CODE,STOP_TYPE_CODE,AUDIT_CREATE_DATE,AUDIT_CRT_USERID,AUDIT_UPDATE_DATE,AUDIT_UPDT_USERID,STANDARD_ITEM_CODE Description,ARTYPE,SERVICE,Invoicable,Distributable,ITYPE_CODE,REV_ACCT,EXP_ACCT,ROLE_CODE,VPSDES,INVSEQ,INVPRINT,UNIT_DEFAULT,REPORTING_CATEGORY,GCS_FLAG,IMS_XREF_CODE
RVP,@LINK 0001,RVPF,,8/7/2000,FBR,,,Replacement Value - Flat Rate,TRADE,Y,Y,Y,O,3502,3502,B,,812.00,N,SHP,C,N,
RVP_ADDNL,@LINK 0001,RVPA,,8/7/2000,FBR,,,Add'l Replacement Value Prot.,TRADE,Y,Y,Y,O,3501,3501,B,,813.00,Y,,C,N,
RVP,@OUTCO0001,RVP,,11/15/1999,FBR,,,Replacement Value Protection,TRADE,Y,Y,Y,O,3506,3506,B,,812.00,Y,CWT,C,N,
RVP_ADDNL,@OUTCO0001,RVPA,,11/15/1999,FBR,,,Add'l Replacement Value Prot.,TRADE,Y,Y,Y,O,3501,3501,B,,813.00,Y,,C,N,
DR,001 DONOT,ADDI,ORIG,5/18/2005 14:54:41 ,LBOYCE,,,Advertising Display,TRADE,Y,Y,Y,A,3105,7305,O,,335.00,Y,VAN,A,N,
PREF_PAD,104B,PAPA,,2/17/1994 10:17:15 ,AVANT,9/13/1994 16:55:14 ,TOLEARY,Papering/Padding,TRADE,Y,Y,Y,A,3105,7305,O,,361.00,Y,CF,A,N,
PPS_A,104B,PPS,,6/27/1994 10:04:53 ,TOLEARY,,,Protection Plus,TRADE,Y,Y,Y,O,3809,3512,B,,816.00,N,,C,N,
PPS_B,104B,PPS,,6/27/1994 10:05:05 ,TOLEARY,,,Protection Plus,TRADE,Y,Y,Y,O,3809,3512,B,,816.00,N,,C,N,
PPS_C,104B,PPS,,6/27/1994 10:05:10 ,TOLEARY,,,Protection Plus,TRADE,Y,Y,Y,O,3809,3512,B,,816.00,N,,C,N,
SIVA,104B,SIVA,,7/8/1994 16:26:58 ,FBR,,,Storage In Transit Valuation,TRADE,Y,Y,Y,O,3507,7305,D,,816.00,Y,PCT,C,N,
PREF_PAD,104C,PAPA,,2/17/1994 10:17:18 ,AVANT,9/13/1994 16:55:14 ,TOLEARY,Papering/Padding,TRADE,Y,Y,Y,A,3105,7305,O,,361.00,Y,CF,A,N,
PPS_A,104C,PPS,,6/27/1994 10:05:21 ,TOLEARY,,,Protection Plus,TRADE,Y,Y,Y,O,3809,3512,B,,816.00,N,,C,N,
PPS_B,104C,PPS,,6/27/1994 10:05:31 ,TOLEARY,,,Protection Plus,TRADE,Y,Y,Y,O,3809,3512,B,,816.00,N,,C,N,
PPS_C,104C,PPS,,6/27/1994 10:05:37 ,TOLEARY,,,Protection Plus,TRADE,Y,Y,Y,O,3809,3512,B,,816.00,N,,C,N,
SIVA,104C,SIVA,,7/8/1994 16:26:58 ,FBR,,,Storage In Transit Valuation,TRADE,Y,Y,Y,O,3507,7305,D,,816.00,Y,PCT,C,N,
FUELSRCHRG,104C,FUSU,,2/21/2000,FBR,,,Fuel Surcharge,TRADE,Y,Y,Y,A,3109,7305,H,,45.00,Y,PCT,A,B,
FUEL_SIT,104C,FUSC,,2/21/2000,FBR,,,Fuel Surcharge Cartage,TRADE,Y,Y,Y,A,3109,7305,H,,565.00,Y,PCT,A,N,
PREF_PAD,104D,PAPA,,2/17/1994 10:17:22 ,AVANT,9/13/1994 16:55:14 ,TOLEARY,Papering/Padding,TRADE,Y,Y,Y,A,3105,7305,O,,361.00,Y,CF,A,N,
PPS_A,104D,PPS,,6/27/1994 10:05:44 ,TOLEARY,,,Protection Plus,TRADE,Y,Y,Y,O,3809,3512,B,,816.00,N,,C,N,
PPS_B,104D,PPS,,6/27/1994 10:05:50 ,TOLEARY,,,Protection Plus,TRADE,Y,Y,Y,O,3809,3512,B,,816.00,N,,C,N,
PPS_C,104D,PPS,,6/27/1994 10:05:56 ,TOLEARY,,,Protection Plus,TRADE,Y,Y,Y,O,3809,3512,B,,816.00,N,,C,N,
SIVA,104D,SIVA,,7/8/1994 16:26:58 ,FBR,,,Storage In Transit Valuation,TRADE,Y,Y,Y,O,3507,7305,D,,816.00,Y,PCT,C,N,
FUELSRCHRG,104D,FUSU,,2/21/2000,FBR,,,Fuel Surcharge,TRADE,Y,Y,Y,A,3109,7305,H,,45.00,Y,PCT,A,B,
FUEL_SIT,104D,FUSC,,2/21/2000,FBR,,,Fuel Surcharge Cartage,TRADE,Y,Y,Y,A,3109,7305,H,,565.00,Y,PCT,A,N,
SHUTTLE,104E,IMOP,,5/14/1996 9:51:14 ,TOLEARY,7/24/1996 13:44:28 ,TOLEARY,Impractical Operations,TRADE,Y,Y,Y,A,3105,7305,H,,340.00,Y,CWT,A,N,"O,D"
PREF_PAD,104E,PAPA,,2/17/1994 10:17:25 ,AVANT,9/13/1994 16:55:14 ,TOLEARY,Papering/Padding,TRADE,Y,Y,Y,A,3105,7305,O,,361.00,Y,CF,A,N,
PPS_A,104E,PPS,,6/24/1994 13:05:06 ,TOLEARY,,,Protection Plus,TRADE,Y,Y,Y,O,3809,3512,B,,816.00,N,,C,N,
PPS_B,104E,PPS,,6/24/1994 13:05:34 ,TOLEARY,,,Protection Plus,TRADE,Y,Y,Y,O,3809,3512,B,,816.00,N,,C,N,
PPS_C,104E,PPS,,6/24/1994 13:05:49 ,TOLEARY,,,Protection Plus,TRADE,Y,Y,Y,O,3809,3512,B,,816.00,N,,C,N,
UNIT_WRAP,104E,UPWR,ORIG,10/11/1994 11:42:28 ,TOLEARY,,,Upholstery Wrapping,TRADE,Y,Y,Y,A,3105,7305,O,,218.00,Y,EA,A,N,
UNIT_FINE,104E,FFWR,ORIG,10/11/1994 15:48:29 ,TOLEARY,,,Fine Finish Wrapping,TRADE,Y,Y,Y,A,3105,7305,O,,218.00,Y,EA,A,N,
SPCL_PAD,104E,PAPA,,8/30/1994 11:58:26 ,kleong,9/13/1994 16:55:33 ,TOLEARY,Papering/Padding,TRADE,Y,Y,Y,A,3105,7305,O,,361.00,Y,CF,A,N,
SIVA,104E,SIVA,,7/8/1994 16:26:58 ,FBR,,,Storage In Transit Valuation,TRADE,Y,Y,Y,O,3507,7305,D,,816.00,Y,PCT,C,N,
SHUT25,104E,IMOP,,3/26/1998 16:00:19 ,toleary,,,Impractical Operations,TRADE,Y,Y,Y,A,3105,7305,H,,340.00,Y,CWT,A,N,"O,D"
AIR_WH,104E,SITA,,4/2/1998 8:13:53 ,TOLEARY,,,Storage In Transit-Add'l Days,TRADE,Y,Y,Y,A,3301,7305,W,,501.00,Y,CWT,S,N,W
FUELSRCHRG,104E,FUSU,,2/21/2000,FBR,,,Fuel Surcharge,TRADE,Y,Y,Y,A,3109,7305,H,,45.00,Y,PCT,A,B,
FUEL_SIT,104E,FUSC,,2/21/2000,FBR,,,Fuel Surcharge Cartage,TRADE,Y,Y,Y,A,3109,7305,H,,565.00,Y,PCT,A,N,
PPS_A,104F,PPS,,12/17/1996 14:39:15 ,toleary,,,Protection Plus,TRADE,Y,Y,Y,O,3809,3512,B,,816.00,N,,C,N,
PPS_B,104F,PPS,,12/17/1996 14:39:15 ,toleary,,,Protection Plus,TRADE,Y,Y,Y,O,3809,3512,B,,816.00,N,,C,N,
PPS_C,104F,PPS,,12/17/1996 14:39:15 ,toleary,,,Protection Plus,TRADE,Y,Y,Y,O,3809,3512,B,,816.00,N,,C,N,
SHUTTLE,104F,IMOP,,12/17/1996 14:39:15 ,toleary,,,Impractical Operations,TRADE,Y,Y,Y,A,3105,7305,H,,340.00,Y,CWT,A,N,"O,D"
SIVA,104F,SIVA,,12/17/1996 14:39:15 ,toleary,,,Storage In Transit Valuation,TRADE,Y,Y,Y,O,3507,7305,D,,816.00,Y,PCT,C,N,
UNIT_FINE,104F,FFWR,ORIG,12/17/1996 14:39:15 ,toleary,,,Fine Finish Wrapping,TRADE,Y,Y,Y,A,3105,7305,O,,218.00,Y,EA,A,N,
UNIT_WRAP,104F,UPWR,ORIG,12/17/1996 14:39:15 ,toleary,,,Upholstery Wrapping,TRADE,Y,Y,Y,A,3105,7305,O,,218.00,Y,EA,A,N,
SHUT25,104F,IMOP,,3/26/1998 15:51:40 ,toleary,,,Impractical Operations,TRADE,Y,Y,Y,A,3105,7305,H,,340.00,Y,CWT,A,N,"O,D"
AIR_WH,104F,SITA,,4/2/1998 8:14:14 ,TOLEARY,,,Storage In Transit-Add'l Days,TRADE,Y,Y,Y,A,3301,7305,W,,501.00,Y,CWT,S,N,W
FUELSRCHRG,104F,FUSU,,2/21/2000,FBR,,,Fuel Surcharge,TRADE,Y,Y,Y,A,3109,7305,H,,45.00,Y,PCT,A,B,
FUEL_SIT,104F,FUSC,,2/21/2000,FBR,,,Fuel Surcharge Cartage,TRADE,Y,Y,Y,A,3109,7305,H,,565.00,Y,PCT,A,N,
SMLSHPLOAD,104F,SSLO,ORIG,5/11/2000,FBR,,,Small Shipment - 1 Day Loading,TRADE,Y,Y,Y,A,3105,7305,H,,41.00,Y,CWT,A,N,O
INS_SRCHRG,104F,INSU,,12/28/2001 8:52:13 ,mbuelow,,,Insurance Surcharge,TRADE,Y,Y,N,A,3110,7305,H,,40.00,Y,PCT,A,N,
INS_SIT,104F,INSC,,12/28/2001 8:52:13 ,mbuelow,,,Insurance Surcharge-Cartage,TRADE,Y,Y,N,A,3110,7305,H,,560.00,Y,PCT,A,N,
EXCL_VHCLE,104F,NOSI,,8/14/2001,MBUELOW,,,No Standard Item,TRADE,Y,Y,N,O,0,0,B,,998.00,N,,N,N,
INS_SRCVEH,104F,INSV,,12/28/2001 8:52:13 ,mbuelow,,,Insurance Surcharge - Vehicle,TRADE,Y,Y,N,A,3110,7305,H,,40.00,Y,PCT,A,N,
AIR_WH,104G,SITA,,2/24/2002,MBUELOW,,,Storage In Transit-Add'l Days,TRADE,Y,Y,Y,A,3301,7305,W,,501.00,Y,CWT,S,N,W
CONTAINER,104G,PACO,ORIG,1/24/2002,MBUELOW,,,Packing Containers,TRADE,Y,Y,Y,A,3003,7305,O,,50.00,N,,A,N,"P,O"
EXCL_VHCLE,104G,NOSI,,2/24/2002,MBUELOW,,,No Standard Item,TRADE,Y,Y,N,O,0,0,B,,998.00,N,,N,N,
SMLSHPLOAD,104G,SSLO,ORIG,2/24/2002,MBUELOW,,,Small Shipment - 1 Day Loading,TRADE,Y,Y,Y,A,3105,7305,H,,41.00,Y,CWT,A,N,O
UNIT_FINE,104G,FFWR,ORIG,2/24/2002,MBUELOW,,,Fine Finish Wrapping,TRADE,Y,Y,Y,A,3105,7305,O,,218.00,Y,EA,A,N,
UNIT_WRAP,104G,UPWR,ORIG,2/24/2002,MBUELOW,,,Upholstery Wrapping,TRADE,Y,Y,Y,A,3105,7305,O,,218.00,Y,EA,A,N,
ADDNL_TRAN,104G,DSCH,DEST,10/3/2003,MBUELOW,,,Destination Service Charge,TRADE,Y,Y,Y,A,3105,7305,H,NULL,12.00,Y,CWT,A,N,D
ADDNL_TRAN,104G,OSCH,ORIG,10/3/2003,MBUELOW,,,Origin Service Charge,TRADE,Y,Y,Y,A,3105,7305,H,NULL,11.00,Y,CWT,A,N,O
SHUT25,104G,IMOP,,10/27/2003,MBUELOW,,,Impractical Operations,TRADE,Y,Y,Y,A,3105,7305,H,,340.00,Y,CWT,A,N,"O,D"
SHUTTLE,104G,IMOP,,10/27/2003,MBUELOW,,,Impractical Operations,TRADE,Y,Y,Y,A,3105,7305,H,,340.00,Y,CWT,A,N,"O,D"
TV_KIT_50,104G,FTVC,ORIG,12/6/2012,CHOOVER,,,Flat Screen TV Carton/Kit Only,TRADE,Y,Y,Y,A,3003,7305,O,,50.00,Y,EA,A,N,
TV_KIT_60,104G,FTVC,ORIG,12/6/2012,CHOOVER,,,Flat Screen TV Carton/Kit Only,TRADE,Y,Y,Y,A,3003,7305,O,,50.00,Y,EA,A,N,
TV_PACK_50,104G,FTVO,ORIG,12/6/2012,CHOOVER,,,Flat Screen TV Service - Org,TRADE,Y,Y,Y,A,3004,7305,O,,56.00,Y,EA,A,N,
TV_PACK_60,104G,FTVO,ORIG,12/6/2012,CHOOVER,,,Flat Screen TV Service - Org,TRADE,Y,Y,Y,A,3004,7305,O,,56.00,Y,EA,A,N,
TV_UNPACK,104G,FTVD,DEST,12/6/2012,CHOOVER,,,Flat Screen TV Service Dest,TRADE,Y,Y,Y,A,3202,7305,D,,60.00,Y,EA,A,N,
EMA_CHGSIT,104G,EMCC,,5/12/2014,JUNGETHUM,,,Emissions Abatemnt Chg-Cartage,TRADE,Y,Y,Y,A,3105,7305,H,,566.00,Y,PCT,A,N,
EMA_SCVEH,104G,EMAV,,5/12/2014,JUNGETHUM,,,Emissions Abatement Chg-Veh,TRADE,Y,Y,Y,A,3105,7305,H,,46.00,Y,PCT,A,N,
EMA_SRCHG,104G,EMAC,,5/12/2014,JUNGETHUM,,,Emissions Abatement Charge,TRADE,Y,Y,Y,A,3105,7305,H,,46.00,Y,PCT,A,N,
AUTO,104G,AUTO,,7/23/2014,JUNGETHUM,,,"Auto, Truck, Van",TRADE,Y,Y,Y,A,3105,7305,H,,151.00,Y,VEH,A,N,
RVP,24HOUR0001,RVPF,,9/19/2002 12:30:59 ,GVLDEV,,,Replacement Value - Flat Rate,TRADE,Y,Y,Y,O,3502,3502,B,,812.00,N,SHP,C,N,
RVP_ADDNL,24HOUR0001,RVPA,,9/19/2002 12:30:59 ,GVLDEV,,,Add'l Replacement Value Prot.,TRADE,Y,Y,Y,O,3501,3501,B,,813.00,Y,,C,N,
RVP,24HOUR0002,RVPF,,10/22/2002 7:17:17 ,GVLDEV,,,Replacement Value - Flat Rate,TRADE,Y,Y,Y,O,3502,3502,B,,812.00,N,SHP,C,N,
RVP_ADDNL,24HOUR0002,RVPA,,10/22/2002 7:17:17 ,GVLDEV,,,Add'l Replacement Value Prot.,TRADE,Y,Y,Y,O,3501,3501,B,,813.00,Y,,C,N,
AUTO,24HOUR0002,VETR,,10/22/2002 7:17:17 ,GVLDEV,,,Vehicle Transportation,TRADE,Y,Y,Y,L,3102,7302,H,,30.00,Y,VEH,A,N,"H, O,  D"
SPORT_UTIL,24HOUR0002,VETR,,10/22/2002 7:17:17 ,GVLDEV,,,Vehicle Transportation,TRADE,Y,Y,Y,L,3102,7302,H,,30.00,Y,VEH,A,N,"H, O,  D"
TRUCK,24HOUR0002,VETR,,10/22/2002 7:17:17 ,GVLDEV,,,Vehicle Transportation,TRADE,Y,Y,Y,L,3102,7302,H,,30.00,Y,VEH,A,N,"H, O,  D"
TRUCK_CAMP,24HOUR0002,VETR,,10/22/2002 7:17:17 ,GVLDEV,,,Vehicle Transportation,TRADE,Y,Y,Y,L,3102,7302,H,,30.00,Y,VEH,A,N,"H, O,  D"
VAN,24HOUR0002,VETR,,10/22/2002 7:17:17 ,GVLDEV,,,Vehicle Transportation,TRADE,Y,Y,Y,L,3102,7302,H,,30.00,Y,VEH,A,N,"H, O,  D"
RVP,24HOUR0003,RVPF,,10/22/2002 7:17:17 ,GVLDEV,,,Replacement Value - Flat Rate,TRADE,Y,Y,Y,O,3502,3502,B,,812.00,N,SHP,C,N,
RVP_ADDNL,24HOUR0003,RVPA,,10/22/2002 7:17:17 ,GVLDEV,,,Add'l Replacement Value Prot.,TRADE,Y,Y,Y,O,3501,3501,B,,813.00,Y,,C,N,
AUTO,24HOUR0003,VETR,,10/22/2002 7:17:17 ,GVLDEV,,,Vehicle Transportation,TRADE,Y,Y,Y,L,3102,7302,H,,30.00,Y,VEH,A,N,"H, O,  D"
SPORT_UTIL,24HOUR0003,VETR,,10/22/2002 7:17:17 ,GVLDEV,,,Vehicle Transportation,TRADE,Y,Y,Y,L,3102,7302,H,,30.00,Y,VEH,A,N,"H, O,  D"
TRUCK,24HOUR0003,VETR,,10/22/2002 7:17:17 ,GVLDEV,,,Vehicle Transportation,TRADE,Y,Y,Y,L,3102,7302,H,,30.00,Y,VEH,A,N,"H, O,  D"
TRUCK_CAMP,24HOUR0003,VETR,,10/22/2002 7:17:17 ,GVLDEV,,,Vehicle Transportation,TRADE,Y,Y,Y,L,3102,7302,H,,30.00,Y,VEH,A,N,"H, O,  D"
VAN,24HOUR0003,VETR,,10/22/2002 7:17:17 ,GVLDEV,,,Vehicle Transportation,TRADE,Y,Y,Y,L,3102,7302,H,,30.00,Y,VEH,A,N,"H, O,  D"
RVP,24HOUR0007,RVPF,,4/8/2004 11:23:53 ,KTRAEDER,,,Replacement Value - Flat Rate,TRADE,Y,Y,Y,O,3502,3502,B,,812.00,N,SHP,C,N,
RVP_ADDNL,24HOUR0007,RVPA,,4/8/2004 11:23:53 ,KTRAEDER,,,Add'l Replacement Value Prot.,TRADE,Y,Y,Y,O,3501,3501,B,,813.00,Y,,C,N,
AUTO,3M    0008,VETR,,3/13/2000,FBR,,,Vehicle Transportation,TRADE,Y,Y,Y,L,3102,7302,H,,30.00,Y,VEH,A,N,"H, O,  D"
DUNE_BUGGY,3M    0008,VETR,,3/13/2000,FBR,,,Vehicle Transportation,TRADE,Y,Y,Y,L,3102,7302,H,,30.00,Y,VEH,A,N,"H, O,  D"
TRUCK,3M    0008,VETR,,3/13/2000,FBR,,,Vehicle Transportation,TRADE,Y,Y,Y,L,3102,7302,H,,30.00,Y,VEH,A,N,"H, O,  D"
TRUCK_CAMP,3M    0008,VETR,,3/13/2000,FBR,,,Vehicle Transportation,TRADE,Y,Y,Y,L,3102,7302,H,,30.00,Y,VEH,A,N,"H, O,  D"
VAN,3M    0008,VETR,,3/13/2000,FBR,,,Vehicle Transportation,TRADE,Y,Y,Y,L,3102,7302,H,,30.00,Y,VEH,A,N,"H, O,  D"
SPORT_UTIL,3M    0008,VETR,,3/13/2000,FBR,,,Vehicle Transportation,TRADE,Y,Y,Y,L,3102,7302,H,,30.00,Y,VEH,A,N,"H, O,  D"
PAPER_PAD,400D,PAPA,,4/7/1995 14:22:19 ,TOLEARY,,,Papering/Padding,TRADE,Y,Y,Y,A,3105,7305,O,,361.00,Y,CF,A,N,
PLAY/SHED,400D,PLSH,,2/17/1994 10:17:10 ,AVANT,,,Playhouse/Shed,TRADE,Y,Y,Y,A,3105,7305,H,,163.00,Y,EA,A,N,
HOT_TUB,400D,BATH,,2/17/1994 10:17:10 ,AVANT,,,"Bath, Hot Tub, Spa",TRADE,Y,Y,Y,A,3105,7305,H,,158.00,Y,EA,A,N,
SAT_DISH,400D,BULK,,2/17/1994 10:17:10 ,AVANT,,,Bulky Article,TRADE,Y,Y,Y,A,3105,7305,H,,150.00,Y,EA,A,N,
GRND_CLOCK,400D,GRCL,,2/17/1994 10:17:10 ,AVANT,,,Grandfather Clock,TRADE,Y,Y,Y,A,3105,7305,H,,120.00,Y,EA,A,N,
PIANO/ORGN,400D,PIOH,,2/17/1994 10:17:10 ,AVANT,,,Piano/Organ Handling,TRADE,Y,Y,Y,A,3105,7305,H,,140.00,Y,EA,A,N,
AIRPLANE,400D,NOSI,,2/17/1994 10:17:10 ,AVANT,,,No Standard Item,TRADE,Y,Y,N,O,0,0,B,,998.00,N,,N,N,
CANOE,400D,NOSI,,2/17/1994 10:17:10 ,AVANT,,,No Standard Item,TRADE,Y,Y,N,O,0,0,B,,998.00,N,,N,N,
BOAT,400D,NOSI,,2/17/1994 10:17:10 ,AVANT,,,No Standard Item,TRADE,Y,Y,N,O,0,0,B,,998.00,N,,N,N,
BOAT_TRAIL,400D,NOSI,,2/17/1994 10:17:10 ,AVANT,,,No Standard Item,TRADE,Y,Y,N,O,0,0,B,,998.00,N,,N,N,
SAILBOAT,400D,NOSI,,2/17/1994 10:17:10 ,AVANT,,,No Standard Item,TRADE,Y,Y,N,O,0,0,B,,998.00,N,,N,N,
CAMPR_TRVL,400D,NOSI,,2/17/1994 10:17:10 ,AVANT,,,No Standard Item,TRADE,Y,Y,N,O,0,0,B,,998.00,N,,N,N,
PIANOCARRY,400D,STCO,ORIG,2/17/1994 10:17:10 ,AVANT,,,Stair Carry-Origin,TRADE,Y,Y,Y,A,3105,7305,H,,130.00,Y,CWT,A,N,
PIANOCARRY,400D,STCD,DEST,2/17/1994 10:17:10 ,AVANT,,,Stair Carry-Destination,TRADE,Y,Y,Y,A,3105,7305,H,,131.00,Y,CWT,A,N,
ELEVATOR,400D,ELEO,ORIG,2/17/1994 10:17:10 ,AVANT,,,Elevator-Origin,TRADE,Y,Y,Y,A,3105,7305,H,,125.00,Y,CWT,A,N,
ELEVATOR,400D,ELED,DEST,2/17/1994 10:17:10 ,AVANT,,,Elevator-Destination,TRADE,Y,Y,Y,A,3105,7305,H,,126.00,Y,CWT,A,N,
STAIR,400D,STCO,ORIG,2/17/1994 10:17:10 ,AVANT,,,Stair Carry-Origin,TRADE,Y,Y,Y,A,3105,7305,H,,130.00,Y,CWT,A,N,
WINDSURFER,400D,BULK,,2/17/1994 10:17:10 ,AVANT,,,Bulky Article,TRADE,Y,Y,Y,A,3105,7305,H,,150.00,Y,EA,A,N,
TRAILER,400D,TRAI,,2/17/1994 10:17:10 ,AVANT,,,Trailer (Pop-up/Utility),TRADE,Y,Y,Y,A,3105,7305,H,,165.00,Y,EA,A,N,
CAMPER,400D,CAMP,,2/17/1994 10:17:10 ,AVANT,,,Campers,TRADE,Y,Y,Y,A,3105,7305,H,,155.00,Y,,A,N,
STAIR,400D,STCD,DEST,2/17/1994 10:17:10 ,AVANT,,,Stair Carry-Destination,TRADE,Y,Y,Y,A,3105,7305,H,,131.00,Y,CWT,A,N,
DISTANCE,400D,DICO,ORIG,2/17/1994 10:17:10 ,AVANT,,,Distance Carry Origin,TRADE,Y,Y,Y,A,3105,7305,H,,120.00,Y,CWT,A,N,
DISTANCE,400D,DICD,DEST,2/17/1994 10:17:10 ,AVANT,,,Distance Carry Destination,TRADE,Y,Y,Y,A,3105,7305,H,,121.00,Y,CWT,A,N,
STOR_FIRST,400D,SITF,,2/17/1994 10:17:10 ,AVANT,,,Storage In Transit-1st Day,TRADE,Y,Y,Y,A,3301,7305,W,,500.00,Y,CWT,S,N,W
TOLL,400D,MISC,,2/17/1994 10:17:11 ,AVANT,,,Miscellaneous Services,TRADE,Y,Y,Y,A,3105,7305,H,,250.00,N,,A,B,"B,P,O,H,W,D"
ADVERT_DIS,400D,MISC,,2/17/1994 10:17:11 ,AVANT,,,Miscellaneous Services,TRADE,Y,Y,Y,A,3105,7305,H,,250.00,N,,A,B,"B,P,O,H,W,D"
OT_LOAD,400D,OVLO,ORIG,2/17/1994 10:17:11 ,AVANT,,,Overtime Loading,TRADE,Y,Y,Y,A,3105,7305,H,,180.00,Y,CWT,A,N,
OT_UNLOAD,400D,OVUN,DEST,2/17/1994 10:17:11 ,AVANT,,,Overtime Unloading,TRADE,Y,Y,Y,A,3105,7305,H,,181.00,Y,CWT,A,N,
FORKLIFT,400D,MISC,,2/17/1994 10:17:11 ,AVANT,,,Miscellaneous Services,TRADE,Y,Y,Y,A,3105,7305,H,,250.00,N,,A,B,"B,P,O,H,W,D"
CLMATE_VAN,400D,CLCO,,2/17/1994 10:17:11 ,AVANT,,,Climate Control,TRADE,Y,Y,Y,A,3105,7305,H,,325.00,Y,MI,A,N,
SUPER_PERS,400D,MISC,,2/17/1994 10:17:11 ,AVANT,,,Miscellaneous Services,TRADE,Y,Y,Y,A,3105,7305,H,,250.00,N,,A,B,"B,P,O,H,W,D"
STATE_FEE,400D,STFE,,2/17/1994 10:17:11 ,AVANT,,,New York State Fee,TRADE,Y,Y,N,A,3105,7305,H,,150.00,N,EA,A,N,
TRANSPORT,400D,TRAN,,2/17/1994 10:17:11 ,AVANT,,,Transportation Charges,TRADE,Y,Y,Y,L,3102,7302,H,,10.00,Y,CWT,A,N,"H, O, D"
EXP_SRVCE,400D,NOSI,,2/17/1994 10:17:11 ,AVANT,,,No Standard Item,TRADE,Y,Y,N,O,0,0,B,,998.00,N,,N,N,
COMP_VHCLE,400D,NOSI,,2/17/1994 10:17:11 ,AVANT,,,No Standard Item,TRADE,Y,Y,N,O,0,0,B,,998.00,N,,N,N,
EXCL_VHCLE,400D,NOSI,,2/17/1994 10:17:11 ,AVANT,,,No Standard Item,TRADE,Y,Y,N,O,0,0,B,,998.00,N,,N,N,
SPACE_RES,400D,NOSI,,2/17/1994 10:17:11 ,AVANT,,,No Standard Item,TRADE,Y,Y,N,O,0,0,B,,998.00,N,,N,N,
INS_SRCHRG,400D,INSU,,2/17/1994 10:17:11 ,AVANT,,,Insurance Surcharge,TRADE,Y,Y,N,A,3110,7305,H,,40.00,Y,PCT,A,N,
INS_SIT,400D,INSC,,2/17/1994 10:17:11 ,AVANT,,,Insurance Surcharge-Cartage,TRADE,Y,Y,N,A,3110,7305,H,,560.00,Y,PCT,A,N,
FUELSRCHRG,400D,FUSU,,2/17/1994 10:17:11 ,AVANT,,,Fuel Surcharge,TRADE,Y,Y,Y,A,3109,7305,H,,45.00,Y,PCT,A,B,
STOR_ADDL,400D,SITA,,2/17/1994 10:17:10 ,AVANT,,,Storage In Transit-Add'l Days,TRADE,Y,Y,Y,A,3301,7305,W,,501.00,Y,CWT,S,N,W
WAREHOUSE,400D,WHST,,2/17/1994 10:17:10 ,AVANT,,,Warehouse Handling SIT,TRADE,Y,Y,Y,A,3303,7305,W,,502.00,Y,CWT,S,N,W
STOR_DELV,400D,SITD,,2/17/1994 10:17:10 ,AVANT,,,Storage Delivery,TRADE,Y,Y,Y,A,3104,7305,H,,550.00,Y,CWT,S,N,W
STOR_PICK,400D,STPI,,2/17/1994 10:17:10 ,AVANT,,,Storage Pickup,TRADE,Y,Y,Y,A,3104,7305,H,,505.00,Y,CWT,S,N,W
SIT_ATTMPT,400D,SITD,,2/17/1994 10:17:11 ,AVANT,,,Storage Delivery,TRADE,Y,Y,Y,A,3104,7305,H,,550.00,Y,CWT,S,N,W
FVP,400D,FVP,,2/17/1994 10:17:11 ,AVANT,,,Full Value Protection,TRADE,Y,Y,Y,O,3507,3507,B,,815.00,Y,HND,C,N,
DVP,400D,DVP,,2/17/1994 10:17:11 ,AVANT,,,Declared Value Protection,TRADE,Y,Y,Y,O,3506,3506,B,,814.00,Y,HND,C,N,
SIVA,400D,SIVA,,2/17/1994 10:17:11 ,AVANT,,,Storage In Transit Valuation,TRADE,Y,Y,Y,O,3507,7305,D,,816.00,Y,PCT,C,N,
ADV_CHARGE,400D,ADCH,,2/17/1994 10:17:11 ,AVANT,,,Advanced Charge,TRADE,Y,Y,Y,O,2215,7305,I,,801.00,N,,A,N,"B,O,W,D"
DIVERSION,400D,DICH,,2/17/1994 10:17:11 ,AVANT,,,Diversion Charge,TRADE,Y,Y,Y,A,3105,7305,H,,330.00,Y,CWT,A,N,
TRAVL_TIME,400D,MISC,,2/17/1994 10:17:11 ,AVANT,,,Miscellaneous Services,TRADE,Y,Y,Y,A,3105,7305,H,,250.00,N,,A,B,"B,P,O,H,W,D"
EMPTY_MILE,400D,EMMI,,2/17/1994 10:17:11 ,AVANT,,,Empty Mileage,TRADE,Y,Y,Y,A,3105,7305,H,,0.00,Y,MI,A,N,
CONTAINER,400D,PACO,ORIG,2/17/1994 10:17:09 ,AVANT,3/28/1999 21:12:43 ,CFURNISH,Packing Containers,TRADE,Y,Y,Y,A,3003,7305,O,,50.00,N,,A,N,"P,O"
PACK_LABOR,400D,PALA,ORIG,2/17/1994 10:17:09 ,AVANT,3/28/1999 21:12:43 ,CFURNISH,Packing Labor,TRADE,Y,Y,Y,A,3002,7305,O,,55.00,N,,A,N,"P,O"
